id,plan_name,location,type,year,COVID.Funded through this plan,COVID.Unmet requirements,COVID.Total requirements,Funded through this plan,Unmet requirements,Total requirements
830,Ukraine 2020,Ukraine,Humanitarian response plan,2020,40510567,6390742,46901309,81643128,76108797,157751925
831,Somalia 2020,Somalia,Humanitarian response plan,2020,89305776,136298890,225604666,715934565,68387296,784321861
832,occupied Palestinian territory 2020 (part of 2018-2020 HRP),occupied Palestinian territory,Humanitarian response plan,2020,65383301,7022309,72405610,235165482,112810592,347976074
865,South Sudan 2020,South Sudan,Humanitarian response plan,2020,106203765,276824229,383027994,1114160124,403611846,1517771970
866,Iraq 2020,Iraq,Humanitarian response plan,2020,106528835,158257887,264786722,505952024,0,505952024
869,Nigeria 2020,Nigeria,Humanitarian response plan,2020,85271412,157176854,242448266,539337981,298660366,837998347
870,Sudan 2020,Sudan,Humanitarian response plan,2020,99277395,184268930,283546325,763652769,586204035,1349856804
906,Bangladesh: 2020 Joint Response Plan for Rohingya Humanitarian Crisis (January-December),Bangladesh,Regional response plan,2020,62527841,118903793,181431634,565384392,311276830,876661222
907,Chad 2020,Chad,Humanitarian response plan,2020,58782066,65401491,124183557,230986069,309471534,540457603
908,Niger 2020,Niger,Humanitarian response plan,2020,75638579,6679456,82318035,300566403,133190519,433756922
913,Mali 2020,Mali,Humanitarian response plan,2020,49264975,26145959,75410934,180041631,218839615,398881246
919,Democratic Republic of the Congo 2020,"Congo, The Democratic Republic of the",Humanitarian response plan,2020,119003950,155493725,274497675,707537299,1087099846,1794637145
920,Haiti 2020,Haiti,Humanitarian response plan,2020,29219365,115160068,144379433,125573241,202040361,327613602
921,Zimbabwe 2020,Zimbabwe,Humanitarian response plan,2020,35925432,49068897,84994329,174104844,541671760,715776604
922,Burundi 2020,Burundi,Humanitarian response plan,2020,12219267,59225733,71445000,76730020,49717980,126448000
923,Central African Republic 2020,Central African Republic,Humanitarian response plan,2020,80986587,71825703,152812290,292194134,108615866,400810000
924,Syria Humanitarian Response Plan 2020,Syrian Arab Republic,Humanitarian response plan,2020,184717314,199437626,384154940,2053361218,1380016674,3433377892
925,Yemen 2020,Yemen,Humanitarian response plan,2020,281486805,104194898,385681703,1718356149,1278643851,2.997e+09
927,Cameroon 2020,Cameroon,Humanitarian response plan,2020,53988990,27742138,81731128,135702516,173377613,309080129
928,Venezuela 2020,"Venezuela, Bolivarian Republic of",Humanitarian response plan,2020,45150205,42734460,87884665,136368510,538256188,674624698
929,Afghanistan 2020,Afghanistan,Humanitarian response plan,2020,188808828,206880347,395689175,400236371,335125274,735361645
930,Burkina Faso 2020,Burkina Faso,Humanitarian response plan,2020,52737546,53192940,105930486,207162610,111264765,318427375
931,Libya 2020,Libya,Humanitarian response plan,2020,39134912,7522385,46657297,98960278,0,98960278
934,Myanmar 2020,Myanmar,Humanitarian response plan,2020,41783493,17016507,58800000,144672664,71827336,216500000
935,DPR Korea Needs and Priorities 2020,"Korea, Democratic People's Republic of",Other,2020,0,0,0,31589615,75410385,1.07e+08
936,Ethiopia 2020,Ethiopia,Humanitarian response plan,2020,101977630,230713912,332691542,621563598,296548982,918112580
937,Zambia 2019 - 2020,Zambia,Other,2020,0,0,0,27969390,61567629,89537019
939,Djibouti Flash Appeal 2019 - 2020,Djibouti,Flash appeal,2020,0,0,0,3862923,10388973,14251896
943,Syria Refugee Response and Resilience Plan (3RP) 2020,"Jordan, Iraq, Lebanon, Turkey, Egypt",Regional response plan,2020,87393247,670911891,758305138,2251707152,2985963470,5237670622
944,Refugee and Migrant Response Plan 2020 for Refugees and Migrants from Venezuela (RMRP,"Brazil, Colombia, Ecuador, Peru, Mexico, Chile, Dominican Republic, Trinidad and Tobago, Panama, Costa Rica, Paraguay, Aruba, Curaçao, Guyana, Argentina, Uruguay, Bolivia, Plurinational State of",Regional response plan,2020,56725846,382081741,438807587,607375773,361396807,968772580
945,Burundi Regional Refugee Response Plan 2020,"Tanzania, United Republic of, Rwanda, Uganda",Regional response plan,2020,7521464,57909281,65430745,39224662,162932075,202156737
946,Democratic Republic of Congo Regional Refugee Response Plan 2020,"Angola, Congo, Rwanda, Tanzania, United Republic of, Uganda, Zambia",Regional response plan,2020,12131905,143539715,155671620,28568630,403147687,431716317
947,South Sudan Regional Refugee Response Plan 2020,"Ethiopia, Kenya, Uganda",Regional response plan,2020,21908345,106879037,128787382,81500952,811990402,893491354
948,Lesotho Flash Appeal 2019-2020,Lesotho,Flash appeal,2020,0,0,0,13733857,20011143,33745000
950,Colombia 2020,Colombia,Humanitarian response plan,2020,0,0,0,31829031,177870969,209700000
952,COVID-19 Global Humanitarian Response Plan,"Global, Paraguay, Turkey, Djibouti, Iran, Islamic Republic of, Lebanon, Jordan, Egypt, Uruguay, Trinidad and Tobago, Peru, Panama, Mexico, Guyana, Ecuador, Dominican Republic, Curaçao, Costa Rica, Colombia, Chile, Brazil, Bolivia, Plurinational State of, Aruba, Argentina, Kenya, Zambia, Congo, Angola, Tanzania, United Republic of, Uganda, Rwanda, Bangladesh, Korea, Democratic People's Republic of, Yemen, Venezuela, Bolivarian Republic of, Ukraine, Syrian Arab Republic, Sudan, South Sudan, Somalia, occupied Palestinian territory, Nigeria, Niger, Myanmar, Mali, Libya, Iraq, Haiti, Ethiopia, Chad, Central African Republic, Congo, The Democratic Republic of the, Cameroon, Burkina Faso, Burundi, Afghanistan",Humanitarian response plan,2020,3804054627,5697231359,9501285986,0,0,0
985,Colombia Intersectoral COVID-19 Response Plan 2020,Colombia,Other,2020,34750996,249169651,283920647,0,0,0
986,Benin Intersectoral COVID Response Plan 2020,Benin,Other,2020,3346554,14583446,17930000,0,0,0
987,Iran Intersectoral COVID Response Plan 2020,"Iran, Islamic Republic of",Other,2020,74082356,43202325,117284681,0,0,0
988,Lebanon Intersectoral COVID Response Plan 2020,Lebanon,Other,2020,118524688,17975312,136500000,0,0,0
