year,variable,amountUSD_defl
2019,amountUSD_defl,23701234983.591
2020,amountUSD_defl,26740902465.6974
2021,amountUSD_defl,24037641918.7687
2018,amountUSD_defl,23400951089.0639
2019,Complex,20034636586.6559
2020,Complex,19269793268.6617
2021,Complex,19098335449.7696
2018,Complex,16414712760.0265
2019,Physical,15696450096.8259
2020,Physical,12609004864.9665
2021,Physical,15965188397.0882
2018,Physical,4795444948.96722
2019,Conflict,17374792874.4026
2020,Conflict,13566189967.1117
2021,Conflict,16889784090.0425
2018,Conflict,17652564536.1471
2019,Displacement,21695839586.1161
2020,Displacement,17288684620.858
2021,Displacement,19833604102.2081
2018,Displacement,19862272024.3465
2019,COVID,46452458.3396831
2020,COVID,5843405317.5
2021,COVID,844870182.583805
2018,COVID,0
